Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
4/6/2017,1.44,35.4,41.8,48.2,40.9,0.12,1.61
4/7/2017,0.02,33.6,40.6,47.6,31.7,0.39,5.08
4/8/2017,0,31.8,41.6,51.3,23.7,1.3,9.61
4/9/2017,0,35.7,50.3,64.8,34.2,2.17,14.19
4/10/2017,0,53,64.1,75.1,48,6.26,16.93
4/11/2017,0.37,43.1,57,71,53.6,0.02,11.47
4/12/2017,0,34.8,45.3,55.7,40,0.11,6.01
4/13/2017,0,38,50.3,62.6,36.9,0.46,12.74
4/14/2017,0.18,44.7,56.3,67.9,45.1,0.83,12.14
4/15/2017,0.57,47.2,61.3,75.5,54.8,0.29,14.74
4/16/2017,0.17,56.8,68.2,79.7,53.8,0.71,22.11
4/17/2017,0,46.6,59.7,72.8,48.2,0.87,16.61
4/18/2017,0,43.5,58,72.5,37.2,1.11,21.35
4/19/2017,0,49.1,62.7,76.4,48.3,1.57,23.29
4/20/2017,0.06,52.2,63.5,74.8,57.8,0.15,11.3
4/21/2017,0.02,45.7,61.6,77.5,49.2,2.83,15.38
4/22/2017,0,38.1,44.8,51.5,34.8,0.93,6.23
4/23/2017,0,34.3,47.9,61.4,30.6,1.26,13.6
4/24/2017,0,38.5,54.2,70,29.7,2.03,20.68
4/25/2017,0,46.3,60.6,74.9,35.6,1.2,25.34
4/26/2017,0,54.7,66.5,78.4,51.9,2.3,22.36
4/27/2017,0.86,55.9,68.7,81.6,55.8,0.23,24.32
4/28/2017,0,43.4,47.7,52,41.1,0.83,3.4
4/29/2017,0.02,45.1,52.5,59.9,47.2,0.66,6.45
4/30/2017,0.74,45.6,48.7,51.7,46.2,0.45,2.57
5/1/2017,1.06,46.6,56.8,66.9,54.6,0.04,4.95
5/2/2017,0.03,41.6,49.2,56.8,42.2,0.81,5.74
5/3/2017,0,33.7,42.2,50.7,37.3,0.09,4.8
5/4/2017,0.55,40.4,48.2,56,39.3,0.24,8.21
5/5/2017,0.42,40.2,43.7,47.3,41,0.36,2.22
5/6/2017,0.03,40.1,46.7,53.3,38.7,0.66,5.69
5/7/2017,0,34.6,44.5,54.4,32.8,1.17,8.22
5/8/2017,0,32,44.8,57.6,28.8,0.64,11.19
5/9/2017,0.5,39.8,50.9,62,32.6,0.94,12.83
5/10/2017,0.06,43.3,51,58.8,45.4,0.81,4.97
5/11/2017,0.42,47.4,60.4,73.4,54.3,0.24,11.1
5/12/2017,0,43.9,52.6,61.3,47.3,0.21,7.05
5/13/2017,0,44.1,57.2,70.2,44.7,0.47,15.29
5/14/2017,0,49.5,63.9,78.2,48.8,1.07,21.56
5/15/2017,0,51,66.3,81.6,47.8,2.1,25.53
5/16/2017,0,58.8,71.3,83.8,54.5,3.99,25.52
5/17/2017,0,66,76,86,59.1,4.29,27.38
5/18/2017,0,68.1,76.4,84.7,59,4.75,26.07
5/19/2017,0,46.8,67.5,88.2,53.4,1.56,33.38
5/20/2017,0.63,46.5,51.4,56.3,48.6,0.34,3.24
5/21/2017,0.76,50.9,60.3,69.8,59.6,0.17,3.97
5/22/2017,0,47.2,56.7,66.1,47.6,1.27,9.26
5/23/2017,0,52,62.6,73.1,49.1,1.88,17.9
5/24/2017,0.01,54.3,61.2,68.1,53.7,0.58,10.49
5/25/2017,0.26,50.9,57,63.2,53.9,0,5.38
5/26/2017,0,48.7,56,63.3,52.7,0.08,5.42
5/27/2017,0.23,55.3,65.5,75.7,58.3,0.35,14.32
5/28/2017,0,57.5,65.6,73.7,59.8,0.34,9.72
5/29/2017,0,55.8,67,78.2,57.7,0.74,17.29
