Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
4/6/2017,0,30.4,44.2,58.1,28,0.72,12.13
4/7/2017,0,30.3,45.4,60.5,27.9,0.8,13.08
4/8/2017,0,39,54.4,69.9,37.9,1.76,17.72
4/9/2017,0,44.1,61.4,78.7,44.9,1.13,24.25
4/10/2017,0.06,37.6,54.4,71.1,42.2,0.73,15.16
4/11/2017,0,25,36.4,47.8,28.3,0.39,5.13
4/12/2017,0.01,28.3,48.5,68.7,34.3,0.81,17.88
4/13/2017,0,43.2,59.2,75.2,45.3,0.73,18.92
4/14/2017,0.01,43.5,59,74.6,50.1,0.55,16.94
4/15/2017,0.02,55.3,67.4,79.5,56.5,0.95,18.28
4/16/2017,0,46.6,61.8,76.9,48.4,1.36,19.94
4/17/2017,0,43.7,56.4,69.1,38.2,1.25,17.9
4/18/2017,0,47.4,60,72.6,49.3,1.03,16.28
4/19/2017,0,54.6,65.5,76.4,44.7,2.23,22.48
4/20/2017,0,41.4,53.6,65.8,45.2,1.23,8.67
4/21/2017,0,41.3,55.6,69.9,35.4,1.47,19.68
4/22/2017,0,35.4,46.9,58.5,34.4,0.78,10.93
4/23/2017,0,32.8,48.7,64.7,29.1,1.08,15.9
4/24/2017,0,35.3,52.9,70.5,29.7,2.22,20.85
4/25/2017,0.06,44.6,58.5,72.5,39,1.52,18.5
4/26/2017,0.13,34,39.4,44.8,33.9,0.86,2.21
4/27/2017,0,26.7,36.8,46.9,27.5,0.54,5.42
4/28/2017,0.57,29.2,42.4,55.6,35.9,0.59,8.56
4/29/2017,0.41,33.7,37.6,41.6,33.7,0.33,2.14
4/30/2017,0.43,33.3,38.8,44.4,30.5,0.81,4.6
5/1/2017,1.17,32.7,34.6,36.5,30.4,0.58,2.52
5/2/2017,0.01,34.5,48,61.5,34.3,1.28,12.15
5/3/2017,0,38.5,49.4,60.3,38.6,0.68,10.78
5/4/2017,0.02,36.5,48.4,60.3,38.5,0.95,9.94
5/5/2017,0,36.8,53,69.1,35.4,1.17,18.05
5/6/2017,0,39.7,58.7,77.7,38.9,1.33,24.94
5/7/2017,0,48.8,66.1,83.4,43.8,2.31,30.3
5/8/2017,0,56,71.2,86.5,50.9,4.26,31.29
5/9/2017,0,55.1,70.8,86.5,51.7,2.51,31.15
5/10/2017,0.95,50.9,63.5,76.1,48.7,1,17.66
5/11/2017,0,50.6,55.1,59.6,50.1,1.08,4.36
5/12/2017,0,40.3,54.3,68.3,39.4,1.34,16.42
5/13/2017,0,41.9,57.8,73.7,38.9,1.42,20.87
5/14/2017,0,48.9,63.2,77.5,45.3,2.92,22.52
5/15/2017,0,56.4,69.7,83,54,1.98,23.7
5/16/2017,0.43,56.9,71.6,86.4,57.2,0.41,27.85
5/17/2017,0.68,53.4,66.9,80.5,56.9,0.59,17.82
5/18/2017,0.39,48.5,55.8,63.2,50,0.84,6.29
5/19/2017,0.44,47.8,50.2,52.6,46.8,0.97,2.58
5/20/2017,0.58,40.2,45.7,51.2,43.3,0.38,2.52
5/21/2017,0.04,34.4,40,45.6,36.2,0.48,3.63
5/22/2017,0,37.8,53.7,69.7,41.5,0.81,17.23
5/23/2017,0.13,44.6,58.6,72.6,43.9,1.14,18.29
5/24/2017,0,39.5,49,58.6,39.6,0.86,8.61
5/25/2017,0,42.8,54.7,66.6,41.8,1.39,13.64
5/26/2017,0,51.3,63.2,75,50.8,2.21,16.38
5/27/2017,0.18,54.3,65.1,75.8,47.1,1.86,20.06
5/28/2017,0,48.5,60.2,72,49.4,1.32,14.92
5/29/2017,0.02,49.3,64,78.7,43.9,2.1,25.69
5/30/2017,0,43,58.4,73.9,39.2,1.5,21.78
