Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
4/5/2017,0.04,36.7,48.9,61.1,44.2,0.22,7.35
4/6/2017,0.73,39.1,55,71,47.2,0.04,14.57
4/7/2017,0.16,33.4,43.3,53.2,35.6,0.15,3.93
4/8/2017,0,28.7,38.5,48.3,28.8,0.53,6.22
4/9/2017,0,33.3,46,58.6,28.6,0.86,12.11
4/10/2017,0,45.2,59.4,73.6,33.4,3.64,22.24
4/11/2017,0,48.3,62.9,77.5,44.6,1.02,22.24
4/12/2017,0.51,42.8,53.7,64.5,50.7,0.47,6.71
4/13/2017,0,40.1,51.9,63.6,39.3,0.59,12.11
4/14/2017,0,44.3,54.5,64.8,37.8,2.45,13.28
4/15/2017,0,48.4,60.9,73.5,45.1,1.59,17.33
4/16/2017,0.01,57.1,67.7,78.2,51.9,3.68,19.11
4/17/2017,0.07,51.6,64,76.3,54.7,1.11,16.59
4/18/2017,0,40.9,54.3,67.6,38.3,0.92,15.89
4/19/2017,0,53,63.4,73.8,42.4,4.28,22.24
4/20/2017,0,52.3,64.1,75.9,57.9,0,13.28
4/21/2017,0.07,47.3,63.8,80.3,57,0.88,20.26
4/22/2017,0.07,39.5,51.6,63.6,41.6,0.83,10.27
4/23/2017,0,35.7,44.4,53.1,35.1,0.83,6.64
4/24/2017,0,39.9,53.4,67,34.9,1.47,16.55
4/25/2017,0,48.3,59.1,70,44.9,1.77,14.93
4/26/2017,0,48.6,61.3,74,51.7,0.17,14.96
4/27/2017,0,54.1,68.3,82.5,52.3,1.96,26.12
4/28/2017,0,39.6,57.4,75.2,48.8,0.27,15.09
4/29/2017,0.66,49.3,59.7,70.1,50.4,0.16,14.32
4/30/2017,1.29,53.2,62.7,72.3,57.9,0.06,9.17
5/1/2017,0.09,55.5,68.6,81.7,62,0,16.57
5/2/2017,0.67,44.2,57.3,70.3,47,0.59,12.89
5/3/2017,0,41.1,50.8,60.6,38,1.14,10.24
5/4/2017,0,43.1,50,56.9,38.5,1.93,8.42
5/5/2017,0.97,46.7,53.7,60.7,50.2,0.12,5.81
5/6/2017,0.29,43.5,48.5,53.6,44.2,0.51,2.59
5/7/2017,0.1,39.1,47.4,55.8,40,0.6,6.31
5/8/2017,0,33,44.7,56.3,29.2,1.4,9.73
5/9/2017,0,32.2,44.3,56.4,30.2,0.31,10.81
5/10/2017,0.01,40,50.9,61.9,42.2,0.03,11.4
5/11/2017,0.31,52.5,62.5,72.6,51.3,0.85,14.67
5/12/2017,0,50,57.5,65,49.4,1.35,7.51
5/13/2017,0,42.1,51.3,60.6,47.5,0.05,5.76
5/14/2017,0,48.9,59.7,70.5,46.2,1,15.48
5/15/2017,0,43.4,60.5,77.5,44.4,1.23,21.11
5/16/2017,0,47.4,60.3,73.2,40.5,1.06,20.13
5/17/2017,0,56.9,70.5,84.1,57.2,0.61,23.09
5/18/2017,0,65.8,75.6,85.4,57.5,5.97,25.74
5/19/2017,0.06,63,72.6,82.2,63.7,0.68,16.79
5/20/2017,1.35,53.3,66.6,79.8,58.2,0.2,14.18
5/21/2017,0.08,56.5,64.9,73.2,61.8,0.87,7.53
5/22/2017,0.39,54.6,63.5,72.4,60.7,1.7,6.86
5/23/2017,0,46.7,56.6,66.5,45.6,0.28,12.09
5/24/2017,0,53.7,63.2,72.7,52,0.57,16.76
5/25/2017,0.06,57.5,61.7,65.8,57.8,0.88,5.17
5/26/2017,0.19,56.3,60.5,64.8,56.2,1.09,5.35
5/27/2017,0.29,56.8,64.9,73.1,56.6,0.1,13.47
5/28/2017,0,59.3,68.5,77.6,62.6,0.01,12.68
5/29/2017,0.03,57.8,67.4,77,60.8,0.24,12.78
5/30/2017,0.04,55.5,66.8,78.1,54.7,0.58,20.18
5/31/2017,0,50.9,64.8,78.8,48.9,1.19,23.68
6/1/2017,0,47.5,62.6,77.8,47.6,0.75,22.42
6/2/2017,0,47.7,62,76.3,46.2,0.44,21.31
6/3/2017,0,49,64.3,79.5,45.6,0.79,25.62
6/4/2017,0,57.9,70.5,83.1,50.5,2.4,27.78
6/5/2017,0.27,61.7,72.8,83.8,60.3,0.15,23.44
6/6/2017,0.2,50.8,64.7,78.7,57.3,0.73,14.36
6/7/2017,0.02,50.8,60.9,71,50.1,0.81,13.57
6/8/2017,0,48.3,55.7,63.2,48.7,0.35,8.25
6/9/2017,0,48.7,61.2,73.8,49.3,0.53,17.39
6/10/2017,0,59,69.2,79.5,51.6,3.53,22.58
