Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
4/6/2017,0.4,40.3,46.5,52.7,43.1,0.31,2.91
4/7/2017,0,35.2,44.7,54.3,33.8,1.55,7.59
4/8/2017,0,36.2,47.5,58.8,30.1,1.51,12.02
4/9/2017,0,43.3,57.8,72.3,43.6,3.24,15.87
4/10/2017,0,58,67.3,76.7,53.7,4.27,15.14
4/11/2017,0.14,46.3,60.4,74.5,52.2,1.26,12.65
4/12/2017,0,38.9,49.9,61,40.6,0.42,10.04
4/13/2017,0,41.5,55.6,69.6,44.6,0.4,15.02
4/14/2017,0,53.5,67.6,81.7,53.5,1.52,22.73
4/15/2017,0,58.5,70.5,82.6,57.4,2.67,22.73
4/16/2017,0.59,59.1,70.8,82.5,54.3,0.84,25.33
4/17/2017,0.08,53.5,61.7,69.9,52.2,0.89,11.01
4/18/2017,0,47.4,59.3,71.1,43.1,1.37,17.54
4/19/2017,0,51.1,64,76.8,55.2,0.79,16.55
4/20/2017,0,62.2,72.7,83.3,61.1,1.87,22.09
4/21/2017,0.02,45.3,61.6,77.8,50.7,2.03,13.61
4/22/2017,0,44,51.3,58.7,37.9,2.27,9.09
4/23/2017,0,37.5,50.5,63.6,33.8,1.67,13.32
4/24/2017,0,40.6,56.7,72.7,31.6,2.34,22.39
4/25/2017,0,45.7,61.9,78.1,34.6,2.4,28.04
4/26/2017,0,54.3,67.2,80.2,50.4,2.29,24.41
4/27/2017,1,43.9,58.1,72.4,55.5,0.04,11.98
4/28/2017,0.01,44,49.3,54.5,44.3,0.47,4.91
4/29/2017,0.75,49.7,54,58.2,53.5,0.28,2.53
4/30/2017,2.5,46.8,51.5,56.2,49.5,0.33,1.26
5/1/2017,0.32,49.4,58.7,68,55.5,0.17,6.2
5/2/2017,0,43.7,48.3,53,40.6,1.47,5.05
5/3/2017,0,43.5,53,62.5,41.3,1.16,10.44
5/4/2017,1.14,44.6,46.7,48.9,43.6,0.36,3.49
5/5/2017,0.18,42.5,47.2,51.9,40.8,0.78,4.88
5/6/2017,0,43.8,54.5,65.2,42.4,0.51,13.02
5/7/2017,0,42.4,53.8,65.1,43.9,0.46,11.92
5/8/2017,0,45.9,57.8,69.8,43.5,1.38,15.7
5/9/2017,0,50.7,61.8,72.9,54.3,1.61,11.49
5/10/2017,0,58.1,71.9,85.6,60.5,0.6,23.71
5/11/2017,1.01,60.3,71.8,83.3,63.5,0.01,18.91
5/12/2017,0.06,51.6,57.7,63.7,56.4,0.16,3.66
5/13/2017,0,49.4,60.9,72.4,51.3,0.33,14.72
5/14/2017,0,53.2,66.4,79.6,52.1,0.58,23.16
5/15/2017,0,58.3,70.1,82,54.7,2.09,24.52
5/16/2017,0,62.3,73.8,85.3,59.8,2.25,24.46
5/17/2017,0,66.6,76.1,85.6,60.8,3.93,25.24
5/18/2017,0.01,68.7,75.1,81.4,62.9,3.59,17.65
5/19/2017,2.39,55.6,71.5,87.4,61.9,0.46,26.98
5/20/2017,1.08,51.1,56.6,62.2,53.5,0.17,2.42
5/21/2017,0.27,54.9,65.2,75.6,61.5,0,9.51
5/22/2017,0,47.3,55.1,63,48.5,0.24,7.71
5/23/2017,0.07,51.8,62.8,73.7,53.4,0,16.47
5/24/2017,0.07,50.9,58.1,65.2,55.2,0.08,5.01
5/25/2017,0.09,51.9,59,66.1,53.6,0.23,8.05
5/26/2017,0,54,63.4,72.7,55,0.52,13.3
5/27/2017,0.01,59.5,70.7,81.8,64,0,15.47
5/28/2017,0,60.4,70,79.6,62.4,0.18,15.33
5/29/2017,0.04,58.5,68.9,79.4,57.7,1.32,20.5
5/30/2017,0,56.9,69.3,81.8,50.3,2.98,26.21
5/31/2017,0.09,55.3,67.2,79.1,48.8,1.3,24.65
6/1/2017,0,52.7,66.1,79.5,47.7,1.6,25.12
6/2/2017,0,57.3,69.7,82,49.5,2.11,27.64
6/3/2017,0,62.1,75.1,88,55.9,2.01,31.9
6/4/2017,0,67.4,78.9,90.5,62.3,2.62,32.28
6/5/2017,0,65.4,77.3,89.2,66.8,0.55,25.69
6/6/2017,0,56.1,74.4,92.7,55.1,2.72,42.24
6/7/2017,0,54.1,67.3,80.6,45.8,3.57,25.75
6/8/2017,0,52,65.9,79.8,46.7,1.62,25.02
6/9/2017,0,60.5,71.5,82.6,49.1,4.73,27.94
6/10/2017,0,63.3,74.9,86.4,54.3,4.74,29.37
6/11/2017,0,67.4,77.3,87.1,57.1,6.12,30.35
6/12/2017,0,68.9,79.6,90.2,63.3,4.28,28.14
6/13/2017,0,73.6,83.4,93.2,69.6,2.37,30.83
6/14/2017,0,74,84,94.1,70.3,4.14,30.08
6/15/2017,0.44,66.2,77.9,89.5,69.1,0.65,18.92
6/16/2017,0,67.4,78,88.6,67.5,1.09,24.62
6/17/2017,0.05,68.2,78.3,88.4,68.8,1.33,19.98
6/18/2017,1.13,68.7,77.8,86.9,70.2,0.44,18.31
6/19/2017,0,62.2,71.2,80.1,61.9,1.06,17.71
6/20/2017,0.1,60.3,71.8,83.2,58.6,0.76,24.44
6/21/2017,0.12,65.6,76.2,86.9,63.8,0.78,23.72
6/22/2017,0,70.4,80,89.7,69.6,2.41,23.08
6/23/2017,0.05,74.2,79.5,84.7,73.2,1.06,13.03
6/24/2017,0,59.6,71.5,83.4,60.4,1.11,23.98
6/25/2017,0,54.9,65.9,77,48.9,2.49,21.84
6/26/2017,0,50.6,63.8,77,48.5,0.98,20.85
6/27/2017,0,50.2,62.2,74.1,51.9,0.21,17.16
6/28/2017,0,58.2,68,77.8,52,2.14,20.98
6/29/2017,0,64.1,74.8,85.4,63.5,4.09,21.88
6/30/2017,0,69.2,77.8,86.3,67.8,1.17,20.79
7/1/2017,0.3,65.9,75,84,67.5,0.5,17
7/2/2017,0,60.8,72.5,84.3,61.7,1.03,23.4
7/3/2017,0,65,76.6,88.3,63.8,1.77,27.21
7/4/2017,0,67.1,78.7,90.3,66.9,0.89,27.93
7/5/2017,0,70.8,80,89.2,68.8,1.68,24.63
7/6/2017,0.07,68.6,77.3,85.9,70.5,0.5,16.58
7/7/2017,0,70.1,79.6,89,70.6,1.05,22.49
7/8/2017,0,62.4,76.8,91.2,67.4,1.04,24.15
7/9/2017,0,64.7,75.5,86.4,62.1,2.19,25.43
7/10/2017,0,71.1,80.4,89.7,68.3,3.78,23.69
7/11/2017,0.91,70.6,81.2,91.8,71.2,2.01,24.11
7/12/2017,0,71.9,81.3,90.7,71.3,1.83,20.57
7/13/2017,0,75.3,84.3,93.3,74.6,2.4,22.53
7/14/2017,0,71.4,79,86.6,72.7,0.92,14.41
7/15/2017,0,59.8,71.9,84,64.6,0.52,17.62
7/16/2017,0,62.2,72.7,83.3,64.1,0.46,18.11
7/17/2017,0.77,65.3,77.9,90.5,68.9,0.78,21.49
7/18/2017,0,61.6,73.3,85,65,0.62,19.58
7/19/2017,0.01,67.3,78.9,90.5,71.1,0.66,22.27
7/20/2017,0,74,84,94,74.3,1.3,26.27
7/21/2017,0,75.2,85.3,95.4,75.7,1.18,26.16
7/22/2017,0.02,76,85.8,95.6,75.2,1.51,27.71
7/23/2017,0.51,69,81.4,93.7,75.2,0.06,22.2
7/24/2017,0,66.7,78.7,90.7,70.3,0.99,22.17
7/25/2017,0,63.9,73.1,82.2,66.4,0.99,14.31
7/26/2017,0,67.1,76.7,86.3,68.2,1.16,18.33
7/27/2017,1.64,72,81.5,91,75,0.12,17.96
7/28/2017,0.06,65.2,74.3,83.5,71.7,0.04,10.44
7/29/2017,0,60.7,72,83.2,64,1.08,16.99
7/30/2017,0,57.8,68.4,79,58.4,0.79,18.4
7/31/2017,0,60.9,71.7,82.4,60.8,0.66,20.54
8/1/2017,0,66.1,74.9,83.8,65.4,0.75,19.77
8/2/2017,0.02,63.9,74.5,85,66.6,0.16,19.1
8/3/2017,0.13,66.5,76.5,86.5,67.9,0.56,21.17
8/4/2017,0.05,55.7,71.2,86.7,65,1.08,18.46
8/5/2017,0,53.2,63.9,74.7,53.7,0.32,15.37
8/6/2017,0,59.8,69.3,78.7,59.2,1.18,18.15
8/7/2017,0,64,69.6,75.2,65.1,0.36,7.8
8/8/2017,0,55.1,66,77,62.7,0.09,10.59
8/9/2017,0,55.2,67.9,80.6,56.2,0.53,21.25
8/10/2017,0,59.1,71.1,83,58.5,1,23.4
8/11/2017,0.67,65.6,76,86.5,66.6,0.36,20.87
8/12/2017,0,56.8,69.3,81.7,62.9,0.41,16.11
8/13/2017,0,54.4,66.9,79.4,57.1,0.35,18.92
8/14/2017,0,60.1,69.6,79.1,60.1,1.13,17.54
8/15/2017,0,64.6,73.7,82.9,67.4,0.32,15.3
8/16/2017,0,68.1,78.3,88.4,70.6,0.43,20.67
8/17/2017,0.06,69,76.5,84,72.1,0.58,10.48
8/18/2017,0,62.2,73,83.8,66.7,0.73,15.4
8/19/2017,0.02,63.7,74.8,85.9,66,0.48,21.24
8/20/2017,0,66.3,77.1,87.9,68,0.86,21.37
8/21/2017,0,69.1,79.9,90.6,72.1,0.13,22.02
8/22/2017,0.38,69,77,85.1,72,0.14,14.07
8/23/2017,0.02,55.2,68.2,81.2,61.9,0.22,16.04
8/24/2017,0,53.4,65.7,78,55.3,0.13,18.87
8/25/2017,0,56.8,68.3,79.7,57,1.16,19.31
8/26/2017,0,56.2,66.9,77.6,54.9,1.57,18.6
8/27/2017,0,58.6,69.9,81.1,58.7,1.39,19.25
8/28/2017,0.05,60.6,71.6,82.6,62.4,0.23,19.89
8/29/2017,0.5,57.8,69.6,81.3,63.2,0.02,16.11
8/30/2017,0,57.7,68.9,80.2,62.2,0.05,15.81
8/31/2017,0,57.3,69.8,82.2,61.8,0.09,18.7
9/1/2017,0,58.4,68.9,79.4,60.7,0.89,14.05
9/2/2017,0,43.3,58.3,73.3,51,0.06,14.26
9/3/2017,0,47.3,62.2,77.1,53.4,0.2,19.74
9/4/2017,0,58.4,71.7,85,58.6,0.62,26.66
9/5/2017,0.07,57.3,74,90.7,63.5,1.87,25.33
9/6/2017,0,46,59.5,72.9,46.5,0.59,17.25
9/7/2017,0,43.5,54.9,66.2,46.1,0.28,11.34
9/8/2017,0,44.7,59.3,73.8,47.7,0.15,17.99
9/9/2017,0,51,66.6,82.2,51.3,0.55,26.15
9/10/2017,0,50.6,66.9,83.3,53.5,1.11,25.35
9/11/2017,0,47.4,62.5,77.6,47.4,0.93,22
9/12/2017,0,50.5,64.2,78,50.3,0.93,21.72
9/13/2017,0,56,67,78.1,54,0.94,20.46
9/14/2017,0,54.6,63.5,72.5,60.1,0.03,8.01
9/15/2017,0,55.8,70.8,85.8,59.6,0.06,26.15
9/16/2017,0,62.2,76.2,90.2,61.9,1.12,31.15
9/17/2017,0,65.2,77.4,89.6,64.7,1.44,27.97
9/18/2017,0,61.2,72.6,84,64.6,0.77,18.75
9/19/2017,0.04,63.1,74.8,86.6,66.5,0.05,22.34
9/20/2017,0,64.1,74.8,85.4,66.6,0,20.72
9/21/2017,0,69.2,81.7,94.2,70,0.64,30.89
9/22/2017,0,68,80.4,92.8,69.7,0.91,28.1
9/23/2017,0,67,80.9,94.7,66,1.76,35.84
9/24/2017,0,64.3,79.1,93.9,62.9,2.15,36.82
9/25/2017,0,63.2,78.1,92.9,62.4,1.21,35.49
9/26/2017,0,64.9,78.7,92.4,63,1.83,34.27
9/27/2017,0,62.8,77.3,91.9,63,2.26,32.58
9/28/2017,0,50,62,73.9,49.7,1.34,15.59
9/29/2017,0,45,59.8,74.6,45.6,0.63,19.52
9/30/2017,0,43.8,62.7,81.7,44.8,0.69,25.5
10/1/2017,0,46.1,60.3,74.5,42.1,1.06,20.97
10/2/2017,0,50,63.6,77.1,49.3,3.04,22.33
10/3/2017,0,63.8,74.7,85.6,57.7,4.25,26.71
10/4/2017,0.16,68.3,73.4,78.6,66.9,0.69,11.8
10/5/2017,1.11,63.9,69.7,75.4,67.7,0.04,5.04
10/6/2017,0.19,63.3,69.3,75.2,66.7,0.06,6.76
